name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,target
Congratulations,Post Malone,0.627,0.812,6,-4.215,1,0.0358,0.198,0,0.212,0.504,123.071,220293,4,0
Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,0.696,0.817,1,-3.862,1,0.109,0.075,0,0.187,0.782,98.064,216409,4,0
Castle on the Hill,Ed Sheeran,0.461,0.834,2,-4.868,1,0.0989,0.0232,1.14E-05,0.14,0.471,135.007,261154,4,0
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,0.72,0.763,9,-4.068,0,0.0523,0.406,0,0.18,0.742,101.965,251088,4,0
Believer,Imagine Dragons,0.779,0.787,10,-4.305,0,0.108,0.0524,0,0.14,0.708,124.982,204347,4,0
Mi Gente,J Balvin,0.543,0.677,11,-4.915,0,0.0993,0.0148,6.21E-06,0.13,0.294,103.809,189440,4,0
Thunder,Imagine Dragons,0.6,0.81,0,-4.749,1,0.0479,0.00683,0.21,0.155,0.298,167.88,187147,4,0
Say You Won't Let Go,James Arthur,0.358,0.557,10,-7.398,1,0.059,0.695,0,0.0902,0.494,85.043,211467,4,0
There's Nothing Holdin' Me Back,Shawn Mendes,0.857,0.8,2,-4.035,1,0.0583,0.381,0,0.0913,0.966,121.996,199440,4,0
Me RehÃºso,Danny Ocean,0.744,0.804,1,-6.327,1,0.0677,0.0231,0,0.0494,0.426,104.823,205715,4,0
Issues,Julia Michaels,0.706,0.427,8,-6.864,1,0.0879,0.413,0,0.0609,0.42,113.804,176320,4,0
Galway Girl,Ed Sheeran,0.624,0.876,9,-3.374,1,0.1,0.0735,0,0.327,0.781,99.943,170827,4,0
Scared to Be Lonely,Martin Garrix,0.584,0.54,1,-7.786,0,0.0576,0.0895,0,0.261,0.195,137.972,220883,4,0
Closer,The Chainsmokers,0.748,0.524,8,-5.599,1,0.0338,0.414,0,0.111,0.661,95.01,244960,4,0
Symphony (feat. Zara Larsson),Clean Bandit,0.707,0.629,0,-4.581,0,0.0563,0.259,1.60E-05,0.138,0.457,122.863,212459,4,0
I Feel It Coming,The Weeknd,0.768,0.813,0,-5.94,0,0.128,0.427,0,0.102,0.579,92.994,269187,4,0
Starboy,The Weeknd,0.681,0.594,7,-7.028,1,0.282,0.165,3.49E-06,0.134,0.535,186.054,230453,4,0
Wild Thoughts,DJ Khaled,0.671,0.672,0,-3.094,0,0.0688,0.0329,0,0.118,0.632,97.98,204173,4,0
Slide,Calvin Harris,0.736,0.795,1,-3.299,0,0.0545,0.498,1.21E-06,0.254,0.511,104.066,230813,4,0
New Rules,Dua Lipa,0.771,0.696,9,-6.258,0,0.0755,0.00256,9.71E-06,0.179,0.656,116.054,208827,4,0
1-800-273-8255,Logic,0.629,0.572,5,-7.733,0,0.0387,0.57,0,0.192,0.386,100.015,250173,4,0
Passionfruit,Drake,0.809,0.463,11,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,298941,4,0
rockstar,Post Malone,0.577,0.522,5,-6.594,0,0.0984,0.13,9.03E-05,0.142,0.119,159.772,218320,4,0
Strip That Down,Liam Payne,0.869,0.485,6,-5.595,1,0.0545,0.246,0,0.0765,0.527,106.028,204502,4,0
2U (feat. Justin Bieber),David Guetta,0.548,0.65,8,-5.827,0,0.0591,0.219,0,0.225,0.557,144.937,194897,4,0
Perfect,Ed Sheeran,0.599,0.448,8,-6.312,1,0.0232,0.163,0,0.106,0.168,95.05,263400,3,0
Call On Me - Ryan Riback Extended Remix,Starley,0.676,0.843,0,-4.068,1,0.0367,0.0623,0.000752,0.181,0.718,105.003,222041,4,0
Feels,Calvin Harris,0.893,0.745,11,-3.105,0,0.0571,0.0642,0,0.0943,0.872,101.018,223413,4,0
Mama,Jonas Blue,0.746,0.793,11,-4.209,0,0.0412,0.11,0,0.0528,0.557,104.027,181615,4,0
Felices los 4,Maluma,0.755,0.789,5,-4.502,1,0.146,0.231,0,0.351,0.737,93.973,229849,4,0
iSpy (feat. Lil Yachty),KYLE,0.746,0.653,7,-6.745,1,0.289,0.378,0,0.229,0.672,75.016,253107,4,0
Location,Khalid,0.736,0.449,1,-11.462,0,0.425,0.33,0.000162,0.0898,0.326,80.126,219080,4,0
Chantaje,Shakira,0.852,0.773,8,-2.921,0,0.0776,0.187,3.05E-05,0.159,0.907,102.034,195840,4,0
Bad and Boujee (feat. Lil Uzi Vert),Migos,0.927,0.665,11,-5.313,1,0.244,0.061,0,0.123,0.175,127.076,343150,4,0
Havana,Camila Cabello,0.768,0.517,7,-4.323,0,0.0312,0.186,3.80E-05,0.104,0.418,104.992,216897,4,0
Solo Dance,Martin Jensen,0.744,0.836,6,-2.396,0,0.0507,0.0435,0,0.194,0.36,114.965,174933,4,0
Fake Love,Drake,0.927,0.488,9,-9.433,0,0.42,0.108,0,0.196,0.605,133.987,210937,4,0
Let Me Love You,DJ Snake,0.476,0.718,8,-5.309,1,0.0576,0.0784,1.02E-05,0.122,0.142,199.864,205947,4,0
More Than You Know,Axwell /\ Ingrosso,0.644,0.743,5,-5.002,0,0.0355,0.034,0,0.257,0.544,123.074,203000,4,0
One Dance,Drake,0.791,0.619,1,-5.886,1,0.0532,0.00784,0.00423,0.351,0.371,103.989,173987,4,0
SUBEME LA RADIO,Enrique Iglesias,0.684,0.823,9,-3.297,0,0.0773,0.0744,0,0.111,0.647,91.048,208163,4,0
Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,0.703,0.868,7,-4.661,0,0.0291,0.15,0.132,0.104,0.733,121.03,193613,4,0
Sorry Not Sorry,Demi Lovato,0.704,0.633,11,-6.923,0,0.241,0.0214,0,0.29,0.863,144.021,203760,4,0
Redbone,Childish Gambino,0.743,0.359,1,-10.401,1,0.0794,0.199,0.00611,0.137,0.587,160.083,326933,4,0
24K Magic,Bruno Mars,0.818,0.803,1,-4.282,1,0.0797,0.034,0,0.153,0.632,106.97,225983,4,0
DNA.,Kendrick Lamar,0.637,0.514,1,-6.763,1,0.365,0.0047,0,0.094,0.402,139.931,185947,4,0
El Amante,Nicky Jam,0.683,0.691,8,-5.535,1,0.0432,0.243,0,0.14,0.732,179.91,219507,4,0
You Don't Know Me - Radio Edit,Jax Jones,0.876,0.669,11,-6.054,0,0.138,0.163,0,0.185,0.682,124.007,213947,4,0
Chained To The Rhythm,Katy Perry,0.448,0.801,0,-5.363,1,0.165,0.0733,0,0.146,0.462,189.798,237734,4,0
No Promises (feat. Demi Lovato),Cheat Codes,0.741,0.667,10,-5.445,1,0.134,0.0575,0,0.106,0.595,112.956,223504,4,0
Don't Wanna Know (feat. Kendrick Lamar),Maroon 5,0.775,0.617,7,-6.166,1,0.0701,0.341,0,0.0985,0.485,100.048,214265,4,0
"How Far I'll Go - From ""Moana""",Alessia Cara,0.314,0.555,9,-9.601,1,0.37,0.157,0.000108,0.067,0.159,179.666,175517,4,0
Slow Hands,Niall Horan,0.734,0.418,0,-6.678,1,0.0425,0.0129,0,0.0579,0.868,85.909,188174,4,0
EscÃ¡pate Conmigo,Wisin,0.747,0.864,8,-3.181,0,0.0599,0.0245,4.46E-05,0.0853,0.754,92.028,232787,4,0
Bounce Back,Big Sean,0.77,0.567,2,-5.698,1,0.175,0.105,0,0.125,0.26,81.477,222360,4,0
Sign of the Times,Harry Styles,0.516,0.595,5,-4.63,1,0.0313,0.0275,0,0.109,0.222,119.972,340707,4,0
goosebumps,Travis Scott,0.841,0.728,7,-3.37,1,0.0484,0.0847,0,0.149,0.43,130.049,243837,4,0
Young Dumb & Broke,Khalid,0.798,0.539,1,-6.351,1,0.0421,0.199,1.66E-05,0.165,0.394,136.949,202547,4,0
There for You,Martin Garrix,0.611,0.644,6,-7.607,0,0.0553,0.124,0,0.124,0.13,105.969,221904,4,0
Cold (feat. Future),Maroon 5,0.697,0.716,9,-6.288,0,0.113,0.118,0,0.0424,0.506,99.905,234308,4,0
Silence,Marshmello,0.52,0.761,4,-3.093,1,0.0853,0.256,4.96E-06,0.17,0.286,141.971,180823,4,0
Too Good At Goodbyes,Sam Smith,0.698,0.375,5,-8.279,1,0.0491,0.652,0,0.173,0.534,91.92,201000,4,0
Just Hold On,Steve Aoki,0.647,0.932,11,-3.515,1,0.0824,0.00383,1.50E-06,0.0574,0.374,114.991,198774,4,0
Look What You Made Me Do,Taylor Swift,0.773,0.68,9,-6.378,0,0.141,0.213,1.57E-05,0.122,0.497,128.062,211859,4,0
Glorious (feat. Skylar Grey),Macklemore,0.731,0.794,0,-5.126,0,0.0522,0.0323,2.59E-05,0.112,0.356,139.994,220454,4,0
Starving,Hailee Steinfeld,0.721,0.626,4,-4.2,1,0.123,0.402,0,0.102,0.558,99.914,181933,4,0
ReggaetÃ_n Lento (Bailemos),CNCO,0.761,0.838,4,-3.073,0,0.0502,0.4,0,0.176,0.71,93.974,222560,4,0
Weak,AJR,0.673,0.637,5,-4.518,1,0.0429,0.137,0,0.184,0.678,123.98,201160,4,0
Side To Side,Ariana Grande,0.648,0.738,6,-5.883,0,0.247,0.0408,0,0.292,0.603,159.145,226160,4,0
Otra Vez (feat. J Balvin),Zion & Lennox,0.832,0.772,10,-5.429,1,0.1,0.0559,0.000486,0.44,0.704,96.016,209453,4,0
I Like Me Better,Lauv,0.752,0.505,9,-7.621,1,0.253,0.535,2.55E-06,0.104,0.419,91.97,197437,4,0
In the Name of Love,Martin Garrix,0.49,0.485,4,-6.237,0,0.0406,0.0592,0,0.337,0.196,133.889,195840,4,0
Cold Water (feat. Justin Bieber & MÃ˜),Major Lazer,0.608,0.798,6,-5.092,0,0.0432,0.0736,0,0.156,0.501,92.943,185352,4,0
Malibu,Miley Cyrus,0.573,0.781,8,-6.406,1,0.0555,0.0767,2.64E-05,0.0813,0.343,139.934,231907,4,0
All Night,The Vamps,0.544,0.809,8,-5.098,1,0.0363,0.0038,0,0.323,0.448,145.017,197640,4,0
Hear Me Now,Alok,0.789,0.442,11,-7.844,1,0.0421,0.586,0.00366,0.0927,0.45,121.971,192846,4,0
Your Song,Rita Ora,0.855,0.624,1,-4.093,1,0.0488,0.158,0,0.0513,0.962,117.959,180757,4,0
Ahora Dice,Chris Jeday,0.708,0.693,6,-5.516,1,0.138,0.246,0,0.129,0.427,143.965,271080,4,0
Friends (with BloodPopÂ®),Justin Bieber,0.744,0.739,8,-5.35,1,0.0387,0.00459,0,0.306,0.649,104.99,189467,4,0
Bank Account,21 Savage,0.884,0.346,8,-8.228,0,0.351,0.0151,7.04E-06,0.0871,0.376,75.016,220307,4,0
Bad Things (with Camila Cabello),Machine Gun Kelly,0.675,0.69,2,-4.761,1,0.132,0.21,0,0.287,0.272,137.817,239293,4,0
Don't Let Me Down,The Chainsmokers,0.542,0.859,11,-5.651,1,0.197,0.16,0.00466,0.137,0.403,159.797,208053,4,0
Body Like A Back Road,Sam Hunt,0.731,0.469,5,-7.226,1,0.0326,0.463,1.04E-06,0.103,0.631,98.963,165387,4,0
Now Or Never,Halsey,0.658,0.588,6,-4.902,0,0.0367,0.105,1.28E-06,0.125,0.434,110.075,214802,4,0
Dusk Till Dawn - Radio Edit,ZAYN,0.258,0.437,11,-6.593,0,0.039,0.101,1.27E-06,0.106,0.0967,180.043,239000,4,1
Alguien Robo,J Balvin,0.745,0.921,0,-2.674,1,0.082,0.0897,0,0.178,0.645,92.973,223613,4,1
Vacaciones,J Balvin,0.772,0.909,6,-3.225,0,0.166,0.256,0,0.255,0.679,96.031,238800,4,1
Te Quiero PaŒÇMi,J Balvin,0.761,0.82,1,-4.003,1,0.0623,0.125,2.10E-05,0.183,0.619,88.997,211627,4,1
Ay Mi Dios,J Balvin,0.761,0.829,0,-3.203,0,0.0681,0.167,0,0.189,0.82,92.033,252003,4,1
Traicionera,J Balvin,0.776,0.669,11,-4.933,1,0.0638,0.142,0,0.219,0.646,91.012,228467,4,1
Si Tí_ La Ves,J Balvin,0.685,0.731,5,-5.119,0,0.093,0.204,0,0.0722,0.776,177.912,221027,4,1
Lumbra,J Balvin,0.724,0.84,0,-3.581,1,0.0392,0.053,0,0.727,0.833,92.01,197087,4,1
La Bicicleta,J Balvin,0.746,0.961,0,-2.243,1,0.13,0.206,1.84E-06,0.329,0.954,179.984,227457,4,1
Bailame,J Balvin,0.817,0.869,6,-4.791,1,0.18,0.163,0.00226,0.0497,0.56,96.029,207200,4,1
Dile Que Tu Me Quieres,J Balvin,0.721,0.687,1,-6.682,1,0.0782,0.0998,0,0.0679,0.828,175.914,226400,4,1
Deja vu,J Balvin,0.732,0.801,9,-3.859,1,0.0327,0.39,0,0.31,0.818,123.981,196480,4,1
Sí© Que Te Duele,J Balvin,0.682,0.858,9,-4.711,1,0.0708,0.245,0,0.104,0.772,94.954,228147,4,1
Borro Cassette,J Balvin,0.73,0.701,5,-5.885,0,0.106,0.132,0,0.151,0.789,175.95,207307,4,1
DUELE EL CORAZON,J Balvin,0.724,0.904,8,-3.354,0,0.0966,0.0786,0,0.226,0.851,90.999,200813,4,1
Andas En Mi Cabeza,J Balvin,0.68,0.954,9,-1.823,1,0.119,0.0244,0,0.112,0.524,104.029,247493,4,1
Chillax,J Balvin,0.827,0.646,1,-4.727,0,0.0766,0.0724,0,0.247,0.51,92.057,197840,4,1
Hasta el Amanecer,J Balvin,0.832,0.608,6,-6.042,0,0.0385,0.282,0,0.0761,0.579,94.013,198707,4,1
Bailame Despacio,J Balvin,0.688,0.719,2,-4.746,1,0.0555,0.163,0,0.15,0.589,88.015,240000,4,1
Shaky Shaky,J Balvin,0.899,0.626,6,-4.228,0,0.292,0.076,0,0.0631,0.871,88.007,234320,4,1
Besíçndote,J Balvin,0.724,0.809,7,-4.96,1,0.056,0.0345,0,0.169,0.495,95.037,181048,4,1
Ando buscando (feat. Piso 21),J Balvin,0.712,0.841,7,-5.432,0,0.0455,0.0685,7.87E-05,0.0672,0.656,98.003,199281,4,1
Hula Hoop,J Balvin,0.801,0.822,6,-4.655,1,0.0831,0.113,0.00424,0.0877,0.938,176.048,236493,4,1
Quí© Gano Olvidíçndote - Versií_n Urbana,J Balvin,0.49,0.894,11,-1.708,0,0.0947,0.0869,0,0.103,0.656,197.989,246853,4,1
Ya Me Enterí© (feat. Nicky Jam) - Urban Version,J Balvin,0.768,0.742,9,-6.308,1,0.0443,0.234,0,0.14,0.8,114.679,219227,5,1
Mi Tesoro (feat. Nicky Jam),J Balvin,0.725,0.711,10,-4.544,1,0.0335,0.0821,0,0.0931,0.476,93.003,246653,4,1
Tí_ Sí_ Sabes Quererme,J Balvin,0.612,0.57,1,-9.62,0,0.0735,0.803,3.29E-05,0.122,0.813,169.842,245493,4,1
Si Me Dices Que Si (feat. Nicky Jam),J Balvin,0.67,0.679,7,-5.618,1,0.118,0.189,0,0.168,0.794,172.069,276688,4,1
Fuego,J Balvin,0.779,0.659,0,-5.455,1,0.0808,0.0525,0,0.128,0.924,95.003,166600,4,1
Al Filo de Tu Amor,J Balvin,0.712,0.901,1,-4.699,0,0.0595,0.051,0,0.162,0.84,97.98,214072,4,1
Young And Menace,J Balvin,0.648,0.833,11,-5.116,1,0.0543,0.0983,0.001,0.127,0.301,108.001,223800,4,1
"Sugar, We're Goin Down",J Balvin,0.499,0.824,7,-4.741,1,0.0794,0.00898,0,0.163,0.692,161.977,229093,4,1
Centuries,J Balvin,0.385,0.866,4,-2.817,0,0.0697,0.004,0,0.111,0.548,176.014,228360,4,1
My Songs Know What You Did In The Dark (Light Em Up),J Balvin,0.561,0.927,9,-4.374,0,0.0619,0.0313,2.34E-05,0.529,0.562,152.011,186827,4,1
Immortals,J Balvin,0.613,0.874,2,-3.594,1,0.0697,0.00139,1.82E-06,0.656,0.532,108.038,189387,4,1
Uma Thurman,J Balvin,0.623,0.956,4,-2.608,0,0.0753,0.119,0.000227,0.617,0.718,149.958,211573,4,1
"Dance, Dance",J Balvin,0.616,0.961,11,-3.144,0,0.139,0.00494,0,0.078,0.531,114.492,180267,4,1
"This Ain't A Scene, It's An Arms Race",J Balvin,0.607,0.889,9,-4.034,1,0.0394,0.000965,0,0.0839,0.376,100.034,212040,4,1
Bad Liar,J Balvin,0.95,0.412,1,-6.592,1,0.0731,0.177,0,0.077,0.741,121.019,214648,4,1
Despacito - Remix,J Balvin,0.63,0.815,2,-4.265,1,0.152,0.222,0,0.091,0.814,88.357,228827,4,1
Thunder,J Balvin,0.608,0.841,0,-3.798,1,0.0464,0.00593,0.0573,0.121,0.25,167.969,187761,4,1
Attention,Charlie Puth,0.774,0.626,3,-4.432,0,0.0432,0.0969,3.12E-05,0.0848,0.758,100.041,211475,4,1
There's Nothing Holdin' Me Back,Shawn Mendes,0.857,0.8,2,-4.035,1,0.0583,0.381,0,0.0913,0.965,121.996,199440,4,1
Quit (feat. Ariana Grande),Cashmere Cat,0.44,0.413,0,-7.425,0,0.0446,0.102,1.70E-05,0.103,0.125,131.659,258188,4,1
The Cure,Lady Gaga,0.696,0.503,8,-4.842,1,0.0356,0.0745,0,0.0869,0.539,99.977,211364,4,1
First Time,Kygo,0.633,0.592,0,-7.245,0,0.112,0.197,0,0.099,0.643,90.066,193511,4,1
No Vacancy,OneRepublic,0.711,0.722,5,-3.946,1,0.0472,0.062,0,0.14,0.483,99.954,223190,4,1
Most Girls,Hailee Steinfeld,0.76,0.588,9,-7.082,1,0.0775,0.0485,0,0.0847,0.384,102.974,204400,4,1
Malibu,Miley Cyrus,0.565,0.782,8,-6.413,1,0.0506,0.0577,4.16E-05,0.0757,0.392,140.004,231906,4,1
Stay (with Alessia Cara),Zedd,0.457,0.627,5,-5.091,0,0.111,0.238,0,0.116,0.535,101.384,210091,4,1
1-800-273-8255,Logic,0.622,0.593,5,-7.755,0,0.0414,0.56,0,0.175,0.361,100.048,250200,4,1
Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,0.703,0.868,7,-4.661,0,0.0291,0.15,0.132,0.104,0.732,121.03,193613,4,1
Now Or Never,Halsey,0.66,0.575,6,-4.934,0,0.0367,0.115,1.59E-06,0.131,0.485,110.091,214802,4,1
No Promises (feat. Demi Lovato),Cheat Codes,0.741,0.667,10,-5.445,1,0.134,0.0575,0,0.106,0.609,112.956,223504,4,1
Slow Hands,Niall Horan,0.726,0.429,0,-6.623,1,0.0519,0.0133,0,0.0574,0.874,85.899,188174,4,1
Bad Bitch (feat. Ty Dolla $ign),Bebe Rexha,0.656,0.615,5,-6.252,1,0.0539,0.0283,0,0.234,0.364,139.91,197253,4,1
Good Life (with G-Eazy & Kehlani),G-Eazy,0.565,0.771,1,-5.22,1,0.212,0.00464,0,0.0568,0.551,168.385,225526,4,1
The Night We Met,Lord Huron,0.549,0.371,2,-9.56,1,0.0378,0.97,0.132,0.639,0.117,87.024,206933,3,1
Rollin,Calvin Harris,0.754,0.762,6,-4.486,0,0.0849,0.45,6.67E-05,0.224,0.673,92.002,272667,4,1
Obsession (feat. Jon Bellion),Vice,0.741,0.559,10,-7.775,1,0.03,0.00728,0.000971,0.21,0.441,101.999,221983,4,1
Whippin (feat. Felix Snow),Kiiara,0.87,0.502,5,-7.497,0,0.0549,0.549,0.00356,0.0916,0.676,82.53,160597,4,1
Symphony,Clean Bandit,0.718,0.609,0,-4.699,0,0.0429,0.281,3.29E-05,0.234,0.47,122.948,214867,4,1
Break Up Every Night,The Chainsmokers,0.624,0.806,1,-5.957,1,0.0437,0.00411,0,0.0872,0.536,149.999,207520,4,1
Unforgettable,French Montana,0.726,0.769,6,-5.043,1,0.123,0.0293,0.0101,0.104,0.75,97.985,233833,4,1
HUMBLE.,Kendrick Lamar,0.905,0.596,1,-7.496,0,0.118,0.000339,2.05E-05,0.0897,0.419,149.996,177604,4,1
do re mi,Blackbear,0.747,0.592,8,-6.334,1,0.0457,0.00517,1.48E-05,0.124,0.16,110.991,212027,3,1
Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,0.696,0.817,1,-3.862,1,0.109,0.075,0,0.187,0.779,98.064,216409,4,1
Whatever It Takes,Imagine Dragons,0.673,0.676,1,-5.002,1,0.0308,0.0355,0,0.107,0.568,134.944,201601,4,1
Touch,Little Mix,0.607,0.718,4,-4.095,1,0.0978,0.032,0,0.403,0.521,101.821,213307,4,1
Selfish,Future,0.415,0.369,8,-10.044,1,0.0741,0.0303,7.64E-06,0.383,0.0951,95.746,251423,4,1
It Ainäó»t Me (with Selena Gomez),Kygo,0.648,0.532,0,-6.597,1,0.0746,0.0905,0,0.0831,0.497,99.983,220781,4,1
Mama,Jonas Blue,0.747,0.799,11,-4.066,0,0.0405,0.128,0,0.0541,0.537,104.02,184134,4,1
The One,The Chainsmokers,0.76,0.303,2,-11.362,1,0.0284,0.238,8.09E-06,0.294,0.157,99.991,177573,4,1
Nights With You,MíÖ,0.763,0.671,1,-4.029,0,0.1,0.401,1.16E-05,0.375,0.608,120.06,197495,4,1
TG4M,Zara Larsson,0.667,0.648,3,-6.398,0,0.0626,0.0235,1.52E-05,0.0427,0.585,95.031,172893,4,1
Mask Off,Future,0.833,0.434,2,-8.795,1,0.431,0.0102,0.0219,0.165,0.286,150.062,204600,4,1
Bon Appí©tit,Katy Perry,0.803,0.793,6,-5.769,1,0.0635,0.122,5.81E-05,0.154,0.54,106.035,227292,4,1
Sign of the Times,Harry Styles,0.516,0.595,5,-4.63,1,0.0313,0.0275,0,0.109,0.209,119.972,340707,4,1
At My Best (feat. Hailee Steinfeld),Machine Gun Kelly,0.532,0.778,7,-6.69,0,0.218,0.00246,0.000111,0.153,0.242,169.923,200733,4,1
Issues,Julia Michaels,0.704,0.423,8,-6.792,1,0.0862,0.416,0,0.0607,0.45,113.962,176347,4,1
That's What I Like,Bruno Mars,0.853,0.56,1,-4.961,1,0.0406,0.013,0,0.0944,0.853,134.066,206693,4,1
September Song,JP Cooper,0.623,0.656,0,-5.608,0,0.0416,0.0561,0,0.0855,0.371,95.878,220291,4,1
Still Got Time,ZAYN,0.748,0.627,7,-6.029,1,0.0644,0.131,0,0.0852,0.513,120.963,188491,4,1
Location,Khalid,0.736,0.449,1,-11.462,0,0.425,0.33,0.000162,0.0898,0.322,80.126,219080,4,1
Scared to Be Lonely,Martin Garrix,0.584,0.54,1,-7.786,0,0.0576,0.0895,0,0.261,0.19,137.972,220883,4,1
Passionfruit,Drake,0.804,0.459,11,-11.556,1,0.039,0.304,0.0862,0.11,0.372,111.963,298941,4,1
Shape of You,Ed Sheeran,0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.933,95.977,233713,4,1
Wild Ones (feat. Sia),Flo Rida,0.608,0.86,5,-5.324,0,0.0554,0.0991,0,0.262,0.441,127.075,232947,4,1
Starships,Nicki Minaj,0.748,0.727,11,-2.42,0,0.0871,0.167,0,0.166,0.68,125.014,210627,4,1
Lollipop,Lil Wayne,0.828,0.433,0,-9.716,1,0.199,0.0656,0.000876,0.122,0.446,148.073,299333,4,1
Time of Our Lives,Pitbull,0.72,0.802,1,-5.797,1,0.0582,0.0921,0,0.694,0.716,124.043,229360,4,1
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,0.646,0.795,9,-3.293,1,0.0976,0.0319,0,0.267,0.791,89.99,210960,4,1
Glad You Came,The Wanted,0.755,0.838,7,-4.5,0,0.0687,0.0643,1.59E-05,0.118,0.454,126.877,198187,4,1
Dynamite,Taio Cruz,0.75,0.78,4,-3.155,1,0.0898,0.00622,0,0.0263,0.819,119.985,203867,4,1
Clique,JAY Z,0.467,0.564,9,-4.986,0,0.353,0.0567,0,0.194,0.304,81.966,293533,4,1
Airplanes (feat. Hayley Williams of Paramore),B.o.B,0.66,0.867,6,-4.285,0,0.116,0.11,0,0.0368,0.376,93.033,180480,4,1
Trumpets,Jason Derulo,0.635,0.691,0,-4.862,1,0.258,0.555,0,0.097,0.63,82.142,217419,4,1
Live Your Life - feat. Rihanna,T.I.,0.375,0.862,11,-3.363,0,0.255,0.071,0,0.211,0.472,159.841,338853,4,1
Like A G6,Far East Movement,0.352,0.843,7,-7.983,0,0.482,0.00738,0,0.0883,0.716,165.29,216893,5,1
Feel This Moment,Pitbull,0.673,0.758,7,-3.632,1,0.158,0.039,0,0.341,0.541,135.956,229507,4,1
Timber,Pitbull,0.581,0.963,11,-4.087,1,0.0981,0.0295,0,0.139,0.792,129.992,204160,4,1
Classic,MKTO,0.72,0.791,1,-4.689,1,0.124,0.0384,0,0.157,0.767,102.071,175427,4,1
Titanium (feat. Sia),David Guetta,0.599,0.803,0,-3.641,0,0.0986,0.069,0.137,0.129,0.254,126.057,245041,4,1
E.T. - feat. Kanye West,Katy Perry,0.62,0.869,1,-5.252,1,0.175,0.0181,0,0.369,0.769,151.684,229573,4,1
GDFR (feat. Sage The Gemini & Lookas),Flo Rida,0.657,0.827,5,-4.036,1,0.0734,0.000704,0.00534,0.065,0.698,145.889,190186,4,1
"Young, Wild & Free (feat. Bruno Mars)",Snoop Dogg,0.715,0.655,0,-6.425,1,0.137,0.0525,0,0.115,0.557,95.078,207333,4,1
The Monster,Eminem,0.786,0.857,9,-3.765,1,0.0734,0.0514,0,0.112,0.602,110.038,250189,4,1
TiK ToK,Kesha,0.755,0.832,2,-2.741,0,0.116,0.0746,1.27E-06,0.291,0.719,120.032,199693,4,1
Love You Like A Love Song,Selena Gomez & The Scene,0.859,0.697,1,-3.79,0,0.0569,0.0715,0,0.0761,0.875,117.008,188453,4,1
Don't You Worry Child (Radio Edit) [feat. John Martin],Swedish House Mafia,0.612,0.84,11,-3.145,0,0.0509,0.112,0,0.116,0.441,129.042,212862,4,1
