name,artists,danceability,energy,key,loudness,valence,tempo,duration_ms,evaluation,
Feels,Calvin Harris,0.893,0.745,11,-3.105,0.872,101.018,223413,medium,
Mama,Jonas Blue,0.746,0.793,11,-4.209,0.557,104.027,181615,medium,
Felices los 4,Maluma,0.755,0.789,5,-4.502,0.737,93.973,229849,medium,
iSpy (feat. Lil Yachty),KYLE,0.746,0.653,7,-6.745,0.672,75.016,253107,medium,
Location,Khalid,0.736,0.449,1,-11.462,0.326,80.126,219080,medium,
Chantaje,Shakira,0.852,0.773,8,-2.921,0.907,102.034,195840,medium,
Bad and Boujee (feat. Lil Uzi Vert),Migos,0.927,0.665,11,-5.313,0.175,127.076,343150,medium,
Havana,Camila Cabello,0.768,0.517,7,-4.323,0.418,104.992,216897,medium,
Solo Dance,Martin Jensen,0.744,0.836,6,-2.396,0.36,114.965,174933,medium,
Fake Love,Drake,0.927,0.488,9,-9.433,0.605,133.987,210937,medium,
Let Me Love You,DJ Snake,0.476,0.718,8,-5.309,0.142,199.864,205947,medium,
More Than You Know,Axwell /\ Ingrosso,0.644,0.743,5,-5.002,0.544,123.074,203000,medium,
One Dance,Drake,0.791,0.619,1,-5.886,0.371,103.989,173987,medium,
SUBEME LA RADIO,Enrique Iglesias,0.684,0.823,9,-3.297,0.647,91.048,208163,medium,
Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,0.703,0.868,7,-4.661,0.733,121.03,193613,medium,
Sorry Not Sorry,Demi Lovato,0.704,0.633,11,-6.923,0.863,144.021,203760,medium,
Redbone,Childish Gambino,0.743,0.359,1,-10.401,0.587,160.083,326933,medium,
24K Magic,Bruno Mars,0.818,0.803,1,-4.282,0.632,106.97,225983,medium,
DNA.,Kendrick Lamar,0.637,0.514,1,-6.763,0.402,139.931,185947,medium,
El Amante,Nicky Jam,0.683,0.691,8,-5.535,0.732,179.91,219507,medium,
You Don't Know Me - Radio Edit,Jax Jones,0.876,0.669,11,-6.054,0.682,124.007,213947,medium,
Chained To The Rhythm,Katy Perry,0.448,0.801,0,-5.363,0.462,189.798,237734,medium,
No Promises (feat. Demi Lovato),Cheat Codes,0.741,0.667,10,-5.445,0.595,112.956,223504,medium,
Don't Wanna Know (feat. Kendrick Lamar),Maroon 5,0.775,0.617,7,-6.166,0.485,100.048,214265,medium,
"How Far I'll Go - From ""Moana""",Alessia Cara,0.314,0.555,9,-9.601,0.159,179.666,175517,medium,
Slow Hands,Niall Horan,0.734,0.418,0,-6.678,0.868,85.909,188174,medium,
Escápate Conmigo,Wisin,0.747,0.864,8,-3.181,0.754,92.028,232787,medium,
Bounce Back,Big Sean,0.77,0.567,2,-5.698,0.26,81.477,222360,low,
Sign of the Times,Harry Styles,0.516,0.595,5,-4.63,0.222,119.972,340707,low,
goosebumps,Travis Scott,0.841,0.728,7,-3.37,0.43,130.049,243837,low,
Young Dumb & Broke,Khalid,0.798,0.539,1,-6.351,0.394,136.949,202547,low,
There for You,Martin Garrix,0.611,0.644,6,-7.607,0.13,105.969,221904,low,
Cold (feat. Future),Maroon 5,0.697,0.716,9,-6.288,0.506,99.905,234308,low,
Silence,Marshmello,0.52,0.761,4,-3.093,0.286,141.971,180823,low,
Too Good At Goodbyes,Sam Smith,0.698,0.375,5,-8.279,0.534,91.92,201000,low,
Just Hold On,Steve Aoki,0.647,0.932,11,-3.515,0.374,114.991,198774,low,
Look What You Made Me Do,Taylor Swift,0.773,0.68,9,-6.378,0.497,128.062,211859,low,
Glorious (feat. Skylar Grey),Macklemore,0.731,0.794,0,-5.126,0.356,139.994,220454,low,
Starving,Hailee Steinfeld,0.721,0.626,4,-4.2,0.558,99.914,181933,low,
Reggaetón Lento (Bailemos),CNCO,0.761,0.838,4,-3.073,0.71,93.974,222560,low,
Weak,AJR,0.673,0.637,5,-4.518,0.678,123.98,201160,low,
Side To Side,Ariana Grande,0.648,0.738,6,-5.883,0.603,159.145,226160,low,
Otra Vez (feat. J Balvin),Zion & Lennox,0.832,0.772,10,-5.429,0.704,96.016,209453,low,
I Like Me Better,Lauv,0.752,0.505,9,-7.621,0.419,91.97,197437,low,
In the Name of Love,Martin Garrix,0.49,0.485,4,-6.237,0.196,133.889,195840,low,
Cold Water (feat. Justin Bieber & M_),Major Lazer,0.608,0.798,6,-5.092,0.501,92.943,185352,low,
Malibu,Miley Cyrus,0.573,0.781,8,-6.406,0.343,139.934,231907,low,
All Night,The Vamps,0.544,0.809,8,-5.098,0.448,145.017,197640,low,
Hear Me Now,Alok,0.789,0.442,11,-7.844,0.45,121.971,192846,low,
Your Song,Rita Ora,0.855,0.624,1,-4.093,0.962,117.959,180757,low,
Ahora Dice,Chris Jeday,0.708,0.693,6,-5.516,0.427,143.965,271080,low,
Friends (with BloodPop®),Justin Bieber,0.744,0.739,8,-5.35,0.649,104.99,189467,low,
Bank Account,21 Savage,0.884,0.346,8,-8.228,0.376,75.016,220307,low,
Bad Things (with Camila Cabello),Machine Gun Kelly,0.675,0.69,2,-4.761,0.272,137.817,239293,low,
Don't Let Me Down,The Chainsmokers,0.542,0.859,11,-5.651,0.403,159.797,208053,low,
Body Like A Back Road,Sam Hunt,0.731,0.469,5,-7.226,0.631,98.963,165387,low,
Now Or Never,Halsey,0.658,0.588,6,-4.902,0.434,110.075,214802,low,
Dusk Till Dawn - Radio Edit,ZAYN,0.258,0.437,11,-6.593,0.0967,180.043,239000,low,
